Date,Open,High,Low,Close,Adj Close,Volume
2002-06-18,4481.020020,4503.799805,4398.729980,4433.850098,4433.850098,69107600
2002-06-19,4423.830078,4423.830078,4321.899902,4354.819824,4354.819824,85097400
2002-06-20,4352.310059,4371.000000,4199.850098,4245.680176,4245.680176,103966800
2002-06-21,4244.240234,4312.120117,4153.310059,4232.399902,4232.399902,300672400
2002-06-24,4233.870117,4297.979980,4045.520020,4127.209961,4127.209961,115012200
2002-06-25,4129.459961,4260.089844,4129.459961,4202.970215,4202.970215,90411100
2002-06-26,4187.120117,4187.120117,3946.699951,4099.049805,4099.049805,132069700
2002-06-27,4103.620117,4259.430176,4103.620117,4259.430176,4259.430176,96721800
2002-06-28,4275.290039,4388.270020,4275.290039,4382.560059,4382.560059,94511900
2002-07-01,4377.100098,4443.689941,4318.229980,4366.810059,4366.810059,83944700
2002-07-02,4359.169922,4359.169922,4163.799805,4195.950195,4195.950195,94217500
2002-07-03,4202.290039,4252.490234,4101.580078,4138.149902,4138.149902,98756700
2002-07-04,4140.430176,4258.620117,4140.430176,4258.620117,4258.620117,61332400
2002-07-05,4268.229980,4483.029785,4268.229980,4483.029785,4483.029785,103296700
2002-07-08,4475.890137,4476.149902,4393.279785,4442.330078,4442.330078,76744100
2002-07-09,4445.930176,4480.490234,4341.850098,4369.759766,4369.759766,111649600
2002-07-10,4352.770020,4354.229980,4188.640137,4190.220215,4190.220215,106869600
2002-07-11,4179.790039,4179.790039,4039.229980,4118.500000,4118.500000,121910200
2002-07-12,4121.020020,4249.770020,4075.250000,4130.799805,4130.799805,101938600
2002-07-15,4124.529785,4142.649902,3912.510010,3912.510010,3912.510010,99061200
2002-07-16,3913.120117,4052.060059,3825.540039,3977.750000,3977.750000,129373700
2002-07-17,3978.969971,4105.689941,3899.510010,4092.820068,4092.820068,121006600
2002-07-18,4095.439941,4152.450195,4031.909912,4100.750000,4100.750000,117245900
2002-07-19,4092.959961,4092.959961,3875.840088,3891.879883,3891.879883,100355700
2002-07-22,3888.110107,3888.110107,3638.510010,3691.429932,3691.429932,105387300
2002-07-23,3711.300049,3810.510010,3512.459961,3515.830078,3515.830078,110992100
2002-07-24,3515.570068,3641.070068,3265.959961,3632.659912,3632.659912,168905300
2002-07-25,3632.899902,3726.580078,3472.840088,3520.459961,3520.459961,135554600
2002-07-26,3526.290039,3581.989990,3368.290039,3579.000000,3579.000000,101447800
2002-07-29,3584.510010,3859.780029,3584.510010,3859.780029,3859.780029,86852100
2002-07-30,3852.929932,3878.939941,3741.790039,3878.939941,3878.939941,89356000
2002-07-31,3876.800049,3945.379883,3700.139893,3700.139893,3700.139893,114015500
2002-08-01,3699.310059,3806.969971,3545.280029,3606.449951,3606.449951,101146100
2002-08-02,3601.709961,3624.229980,3496.489990,3532.489990,3532.489990,91842600
2002-08-05,3533.300049,3536.050049,3327.959961,3332.649902,3332.649902,81125300
2002-08-06,3319.770020,3601.570068,3235.379883,3568.639893,3568.639893,110350800
2002-08-07,3570.110107,3632.469971,3440.570068,3465.540039,3465.540039,99977200
2002-08-08,3473.479980,3679.260010,3473.479980,3679.260010,3679.260010,101441900
2002-08-09,3682.739990,3760.860107,3607.530029,3760.860107,3760.860107,87582300
2002-08-12,3750.260010,3750.260010,3639.459961,3647.129883,3647.129883,48798800
2002-08-13,3660.399902,3703.550049,3553.120117,3683.209961,3683.209961,65227000
2002-08-14,3677.540039,3677.540039,3542.060059,3589.919922,3589.919922,76039700
2002-08-15,3591.479980,3722.929932,3591.479980,3665.739990,3665.739990,84062200
2002-08-16,3665.669922,3703.870117,3576.010010,3684.689941,3684.689941,72275300
2002-08-19,3681.669922,3846.719971,3628.459961,3837.669922,3837.669922,72332400
2002-08-20,3842.409912,3868.860107,3765.080078,3768.510010,3768.510010,76285700
2002-08-21,3770.750000,3903.750000,3770.750000,3868.169922,3868.169922,98467200
