a,10,20,50,100,200,500
0.01,4.8219,9.6598,12.1265,12.2825,11.7110,10.6732
0.02,3.7038,6.6847,8.4769,8.8522,8.7956,8.4148
0.05,2.3291,3.8649,4.9556,5.4183,5.6596,5.8275
0.10,1.4789,2.3681,3.1673,3.6801,4.0355,4.3096
0.20,1.0713,1.5682,2.1243,2.4857,2.7626,2.9967
